R G B
88 190 150
59 159 105
117 210 166
114 203 157
110 222 166
89 170 127
130 221 180
142 196 164
105 176 146
158 219 186
69 171 121
111 189 150
143 207 181
211 242 226
198 255 234
58 139 106
131 232 174
112 184 160
142 178 166
221 247 234
66 169 142
85 181 135
205 237 224
210 240 228
117 169 147
126 174 162
177 255 216
0 128 0
0 137 78
0 145 0
0 190 0
0 205 0
1 54 1
1 121 1
1 121 111
1 130 1
1 146 1
1 50 32
10 72 2
10 72 13
101 103 0
102 153 12
103 93 40
106 130 36
106 142 35
106 90 30
107 142 35
11 136 85
110 154 22
110 154 36
110 152 35
112 139 61
113 188 120
115 134 0
116 195 101
118 157 29
118 163 42
12 75 0
121 205 36
124 142 9
124 252 0
125 200 36
126 202 10
128 128 0
129 165 80
131 139 13
132 135 2
133 157 15
135 184 82
136 187 0
137 165 20
137 227 116
139 0 0
14 87 12
143 151 121
144 238 144
145 183 116
148 0 211
153 204 50
154 205 50
155 205 0
16 108 7
16 23 0
16 52 8
16 99 21
166 226 46
168 228 160
17 107 2
171 17 19
176 191 26
182 215 25
183 225 158
184 134 11
186 255 0
19 109 0
194 225 132
196 228 160
199 21 133
20 123 56
20 161 3
200 212 49
200 214 95
202 255 112
205 133 63
205 173 0
208 240 192
209 255 82
21 101 192
21 160 246
213 255 230
215 212 0
215 255 0
218 165 32
22 61 43
222 184 135
23 134 31
230 230 250
234 246 216
24 109 9
24 139 34
247 255 0
25 112 26
25 25 112
255 255 0
27 77 62
28 134 17
110 218 166
141 197 168
232 255 245
175 239 212
180 241 210
115 182 149
218 246 234
139 203 169
109 185 146
229 253 239
145 225 186
130 195 165
159 204 183
104 216 168
60 167 123
185 219 202
123 209 164
180 255 227
75 166 123
146 196 169
0 0 128
151 198 188
130 192 181
129 201 163
141 194 166
55 150 106
46 150 97
121 195 160
179 225 199
105 198 153
75 177 127
97 188 144
95 208 152
175 224 202
102 190 148
204 234 222
222 253 247
158 221 190
89 177 137
144 197 177
187 236 206
72 171 125
97 194 153
112 214 166
228 255 241
109 205 159
201 246 223
114 204 166
111 193 155
148 198 187
92 190 143
100 171 141
182 217 211
0 0 0
